Risk_Item_ID,Year,Loss_Cost
12,1969,18.809999999999999
12,1970,3.6200000000000001
12,1971,8.5700000000000003
12,1972,7.3899999999999997
12,1973,0.73999999999999999
12,1974,0.83999999999999997
12,2011,29.100000000000001
12,2012,40.649999999999999
12,2013,4.6399999999999997
12,2005,5.0899999999999999
12,2006,10.92
12,2007,1.26
12,2008,8.9600000000000009
12,2009,8.2400000000000002
12,2010,17.52
12,1999,4.6299999999999999
12,2000,2.8100000000000001
12,2001,8.9700000000000006
12,2002,6.7000000000000002
12,2003,0.01
12,2004,2.8999999999999999
12,1993,0.32000000000000001
12,1994,5.8899999999999997
12,1995,1.1400000000000001
12,1996,3.1400000000000001
12,1997,15.24
12,1998,11.73
12,1987,1.21
12,1988,0
12,1989,2.75
12,1990,3.8100000000000001
12,1991,0.46999999999999997
12,1992,10.23
12,1981,23.449999999999999
12,1982,3.8999999999999999
12,1983,2.8500000000000001
12,1984,8.2300000000000004
12,1985,9.4299999999999997
12,1986,0.17000000000000001
12,1975,1.8399999999999999
12,1976,9.2400000000000002
12,1977,8.8100000000000005
12,1978,11.1
12,1979,4.1399999999999997
12,1980,0.83999999999999997
13,1969,6.9399999999999995
13,1970,0.46999999999999997
13,1971,2.9999999999999999E-2
13,1972,4.2400000000000002
13,1973,0.79000000000000004
13,1974,0.28000000000000003
13,2011,10.619999999999999
13,2012,40.600000000000001
13,2013,0.51000000000000001
13,2005,6.9800000000000004
13,2006,14.9
13,2007,0
13,2008,4.1100000000000003
13,2009,0.91000000000000003
13,2010,4.4500000000000002
13,1999,0.70999999999999996
13,2000,9.5999999999999996
13,2001,1.1499999999999999
13,2002,7.8200000000000003
13,2003,0.68999999999999995
13,2004,0
13,1993,6.0599999999999996
13,1994,0.72999999999999998
13,1995,3.7599999999999998
13,1996,4.6200000000000001
13,1997,13.609999999999999
13,1998,7.0899999999999999
13,1987,3.75
13,1988,0
13,1989,0.57999999999999996
13,1990,1.3700000000000001
13,1991,1.73
13,1992,1.79
13,1981,2.0499999999999998
13,1982,9.8399999999999999
13,1983,2.73
13,1984,0.91000000000000003
13,1985,6.46
13,1986,0
13,1975,0.10000000000000001
13,1976,8.0500000000000007
13,1977,5.0700000000000003
13,1978,11.82
13,1979,0.51000000000000001
13,1980,6.4100000000000001
14,1969,5.5899999999999999
14,1970,0.69999999999999996
14,1971,0.25
14,1972,4.1900000000000004
14,1973,0.78000000000000003
14,1974,1.5600000000000001
14,2011,22.219999999999999
14,2012,1.6699999999999999
14,2013,0.02
14,2005,1.27
14,2006,5.0000000000000003E-2
14,2007,0
14,2008,0
14,2009,2.7400000000000002
14,2010,6.5499999999999998
14,1999,11.470000000000001
14,2000,11.58
14,2001,0.55000000000000004
14,2002,2.8199999999999998
14,2003,2.96
14,2004,3.2000000000000002
14,1993,8.0000000000000002E-2
14,1994,3.8799999999999999
14,1995,0.60999999999999999
14,1996,0.25
14,1997,11.82
14,1998,6.3600000000000003
14,1987,0.29999999999999999
14,1988,0.68000000000000005
14,1989,2.8799999999999999
14,1990,0.75
14,1991,1.3500000000000001
14,1992,1.29
14,1981,17.27
14,1982,0.28999999999999998
14,1983,0
14,1984,2.3999999999999999
14,1985,10.94
14,1986,0.02
14,1975,0.25
14,1976,11.640000000000001
14,1977,2.02
14,1978,2.3500000000000001
14,1979,5.9999999999999998E-2
14,1980,2.9900000000000002
16,1969,3.4199999999999999
16,1970,0.14000000000000001
16,1971,0.10000000000000001
16,1972,3.73
16,1973,0.10000000000000001
16,1974,2.71
16,2011,25
16,2012,5.3499999999999996
16,2013,0.01
16,2005,1.0800000000000001
16,2006,0.11
16,2007,0
16,2008,0
16,2009,1.8700000000000001
16,2010,2.3199999999999998
16,1999,12.51
16,2000,11.51
16,2001,1.0700000000000001
16,2002,7.4900000000000002
16,2003,2.0699999999999998
16,2004,4.3899999999999997
16,1993,0.82999999999999996
16,1994,8
16,1995,0.17000000000000001
16,1996,4.5899999999999999
16,1997,21.359999999999999
16,1998,10.02
16,1987,0.69999999999999996
16,1988,0.31
16,1989,0.12
16,1990,1.1799999999999999
16,1991,0.31
16,1992,1.6299999999999999
16,1981,12.67
16,1982,0
16,1983,0
16,1984,2.3399999999999999
16,1985,15.539999999999999
16,1986,0.20000000000000001
16,1975,0.72999999999999998
16,1976,4.3499999999999996
16,1977,0.39000000000000001
16,1978,2.1400000000000001
16,1979,1.79
16,1980,1.3999999999999999
17,1969,4.8200000000000003
17,1970,0
17,1971,0
17,1972,1.05
17,1973,0.13
17,1974,0
17,2011,10.51
17,2012,40
17,2013,0.83999999999999997
17,2005,2.4399999999999999
17,2006,3.1699999999999999
17,2007,2.79
17,2008,0.33000000000000002
17,2009,2.8199999999999998
17,2010,0.28999999999999998
17,1999,5.5499999999999998
17,2000,8.3699999999999992
17,2001,0.65000000000000002
17,2002,1.5800000000000001
17,2003,0
17,2004,0
17,1993,0
17,1994,0.97999999999999998
17,1995,3.71
17,1996,0.73999999999999999
17,1997,15.5
17,1998,2.6299999999999999
17,1987,1.1499999999999999
17,1988,0.01
17,1989,0.01
17,1990,0
17,1991,0
17,1992,0
17,1981,0.33000000000000002
17,1982,2.29
17,1983,0.68999999999999995
17,1984,2.02
17,1985,4.8799999999999999
17,1986,0.38
17,1975,2.02
17,1976,4.8700000000000001
17,1977,0.68000000000000005
17,1978,0.01
17,1979,1.0900000000000001
17,1980,0.35999999999999999
23,1969,6.2699999999999996
23,1970,0.27000000000000002
23,1971,0
23,1972,7.2599999999999998
23,1973,0
23,1974,1.4399999999999999
