Risk_Item_ID,Year,Loss_Cost
43561,2003,0
43561,2004,0.097372667
43561,1993,3.07938
43561,1994,0.299776667
43561,1995,7.2314
43561,1996,0.197682667
43561,1997,5.44396
43561,1998,0
43561,1987,4.598933333
43561,1988,4.862846667
43561,1989,1.744533333
43561,1990,0.247750667
43561,1991,0
43561,1992,6.700866667
43561,1981,0.257076667
43561,1982,0
43561,1983,2.161566667
43561,1984,0
43561,1985,2.627753333
43561,1986,0.0228636
43561,1975,0.11575
43561,1976,0.0089216
43561,1977,7.692933333
43561,1978,0.741393333
43561,1979,0.349257333
43561,1980,0
43564,1969,0.034657333
43564,1970,5.192306667
43564,1971,1.601146667
43564,1972,9.974
43564,1973,0.025915533
43564,1974,0
43564,2011,0.008395
43564,2012,0.054983467
43564,2013,2.850806667
43564,2005,0.493249333
43564,2006,11.76573333
43564,2007,0.31057
43564,2008,0
43564,2009,0
43564,2010,0
43564,1999,8.3118
43564,2000,0
43564,2001,7.994466667
43564,2002,7.9386
43564,2003,0
43564,2004,19.89813333
43564,1993,0.737926667
43564,1994,0.070551333
43564,1995,0.497804
43564,1996,1.888433333
43564,1997,18.6606
43564,1998,0
43564,1987,12.551
43564,1988,0.626927333
43564,1989,3.219046667
43564,1990,0
43564,1991,0
43564,1992,4.183373333
43564,1981,2.256933333
43564,1982,1.03114
43564,1983,1.913526667
43564,1984,0
43564,1985,0
43564,1986,1.818246667
43564,1975,0.030943067
43564,1976,0.365652
43564,1977,1.749413333
43564,1978,0.001296
43564,1979,0.2287
43564,1980,0
43565,1969,0
43565,1970,19.9278
43565,1971,3.165273333
43565,1972,4.176313333
43565,1973,0
43565,1974,0
43565,2011,0.049058
43565,2012,0.126468667
43565,2013,2.24436
43565,2005,0.025099
43565,2006,4.05498
43565,2007,0
43565,2008,0
43565,2009,0
43565,2010,0
43565,1999,0.204843333
43565,2000,0
43565,2001,0.209744
43565,2002,6.182406667
43565,2003,0.80086
43565,2004,1.23334
43565,1993,0.519639333
43565,1994,0.878986667
43565,1995,0
43565,1996,0.029594
43565,1997,5.407806667
43565,1998,0
43565,1987,9.749333333
43565,1988,0.476462
43565,1989,5.70876
43565,1990,0.261051333
43565,1991,0
43565,1992,8.9222
43565,1981,7.072266667
43565,1982,0
43565,1983,12.56353333
43565,1984,0
43565,1985,0.000202933
43565,1986,0.302298667
43565,1975,0.342936
43565,1976,0
43565,1977,0.090269333
43565,1978,0.892786667
43565,1979,3.275206667
43565,1980,2.102353333
43566,1969,0.22491
43566,1970,0.139402
43566,1971,19.68193333
43566,1972,5.84426
43566,1973,0.100624
43566,1974,0
43566,2011,0.461745333
43566,2012,0.145545333
43566,2013,2.77292
43566,2005,1.653493333
43566,2006,7.617266667
43566,2007,6.6724
43566,2008,0
43566,2009,0
43566,2010,0.156051333
43566,1999,0.550614
43566,2000,0
43566,2001,0.256480667
43566,2002,12.00053333
43566,2003,0.131819333
43566,2004,10.3768
43566,1993,0.432042667
43566,1994,0.0625316
43566,1995,0.0492058
43566,1996,0.0253158
43566,1997,0.018529067
43566,1998,0
43566,1987,9.252933333
43566,1988,0.235047333
43566,1989,4.854393333
43566,1990,0.037842
43566,1991,0
43566,1992,0.113622
43566,1981,5.783826667
43566,1982,0.316674
43566,1983,0.0033508
43566,1984,0.448054
43566,1985,0
43566,1986,8.231533333
43566,1975,3.078613333
43566,1976,0
43566,1977,0.0349888
43566,1978,0.125804
43566,1979,19.8714
43566,1980,3.018913333
43568,2008,0
43568,2009,0
43568,2010,0.324366
43568,2011,0.11753
43568,2012,0.0062928
43568,2013,2.206033333
43568,2002,2.28716
43568,2003,0.024909
43568,2004,0.019788
43568,2005,0
43568,2006,0.65867
43568,2007,0
43568,1996,1.454673333
43568,1997,6.735
43568,1998,0
43568,1999,2.835753333
43568,2000,0.069637333
43568,2001,1.204846667
43568,1990,0.122494
43568,1991,0
43568,1992,8.157866667
43568,1993,0.241362667
43568,1994,0.0001904
43568,1995,0
43568,1984,0
43568,1985,0
43568,1986,3.661
43568,1987,16.04473333
43568,1988,1.040693333
43568,1989,6.864
43568,1978,0.72416
43568,1979,1.172573333
43568,1980,2.673946667
43568,1981,5.940753333
43568,1982,9.4254
43568,1983,8.849333333
43568,1972,5.919373333
43568,1973,0
43568,1974,0.17666
43568,1975,0.208746
43568,1976,0
43568,1977,0.008237067
43568,1969,0.16352
43568,1970,6.8922
43568,1971,3.03958
43569,1969,0.086458667
43569,1970,3.723653333
43569,1971,0.053353733
43569,1972,0.454157333
43569,1973,1.602126667
43569,1974,0
43569,2011,0.001552
43569,2012,0.007137333
43569,2013,1.778826667
43569,2005,0
43569,2006,2.879806667
43569,2007,2.75746
43569,2008,0
43569,2009,0
43569,2010,0.0441648
43569,1999,0.956746667
43569,2000,0
43569,2001,0.0015495
43569,2002,7.142933333
43569,2003,0.651528667
43569,2004,0.389068667
43569,1993,0.313883333
43569,1994,0.095545333
43569,1995,2.2454
43569,1996,0
43569,1997,1.398833333
43569,1998,0
43569,1987,23.27366667
43569,1988,2.007446667
43569,1989,1.061653333
43569,1990,0.258328667
43569,1991,0
43569,1992,0.290722
43569,1981,0.51313
43569,1982,0.492766667
43569,1983,1.29514
43569,1984,0
43569,1985,0
43569,1986,1.4384
43569,1975,6.37498
43569,1976,0
43569,1977,0.437086667
43569,1978,0.001185333
43569,1979,6.155353333
43569,1980,9.863133333
43571,1969,0.071297333
43571,1970,8.799
43571,1971,0.613454
43571,1972,7.317866667
43571,1973,0
43571,1974,0
43571,2011,0.250423333
43571,2012,0.958746667
43571,2013,1.768646667
43571,2005,0
43571,2006,12.1882
43571,2007,0
43571,2008,0
43571,2009,0
43571,2010,0.786886667
43571,1999,0.051669667
43571,2000,0
43571,2001,0.2604
43571,2002,1.982953333
43571,2003,0
43571,2004,4.466066667
43571,1993,0.805106667
43571,1994,0.106510667
43571,1995,0.660227333
43571,1996,0.106764
43571,1997,10.7692
43571,1998,0
43571,1987,8.715266667
43571,1988,0.272116
43571,1989,1.525873333
43571,1990,0.0004275
43571,1991,0
43571,1992,0.972286667
43571,1981,0.648017333
43571,1982,0.0036992
43571,1983,4.483446667
43571,1984,0
43571,1985,0.055816
43571,1986,2.041846667
43571,1975,1.68716
43571,1976,0.600721333
43571,1977,2.32552
43571,1978,0.401582
43571,1979,2.70984
43571,1980,1.182106667
43574,1969,2.416993333
43574,1970,12.33353333
43574,1971,3.00866
43574,1972,3.11828
43574,1973,0.013387733
43574,1974,0.168322
43574,2011,17.95453333
43574,2012,8.384466667
43574,2013,3.866733333
43574,2005,0
43574,2006,6.899133333
43574,2007,1.978673333
43574,2008,0
43574,2009,0
43574,2010,0.0245276
43574,1999,1.13938
43574,2000,10.779
43574,2001,15.24733333
43574,2002,0.980486667
43574,2003,0
43574,2004,2.48262
43574,1993,4.416173333
43574,1994,0.791973333
43574,1995,2.52246
43574,1996,13.96513333
43574,1997,4.412346667
43574,1998,0
43574,1987,24.52726667
43574,1988,0.104242
43574,1989,4.715726667
43574,1990,0.017041533
43574,1991,1.56E-05
43574,1992,1.55528
43574,1981,5.57852
43574,1982,0
43574,1983,1.414813333
43574,1984,0
43574,1985,2.700433333
43574,1986,1.09278
43574,1975,0
43574,1976,1.408433333
43574,1977,8.074533333
43574,1978,0.129184
43574,1979,5.003406667
43574,1980,0.7772
43576,1969,0.346856
43576,1970,4.309186667
43576,1971,0.858913333
43576,1972,2.33738
43576,1973,0
43576,1974,0.482661333
43576,2011,0.010459467
43576,2012,7.121333333
43576,2013,3.208666667
43576,2005,0
43576,2006,12.50706667
43576,2007,6.344993333
43576,2008,0
43576,2009,0
43576,2010,0.189302
43576,1999,5.173966667
43576,2000,1.3692
43576,2001,0.218421333
43576,2002,6.987733333
43576,2003,0
43576,2004,3.301833333
43576,1993,15.05293333
43576,1994,1.761406667
43576,1995,0.389802667
43576,1996,1.01382
43576,1997,13.06573333
43576,1998,0
43576,1987,14.87906667
43576,1988,4.314393333
43576,1989,4.460646667
43576,1990,0.03705
43576,1991,0
43576,1992,1.386826667
43576,1981,1.32824
43576,1982,0
43576,1983,12.59333333
43576,1984,0
43576,1985,1.09692
43576,1986,0.705473333
43576,1975,0.368599333
43576,1976,0.128991333
43576,1977,13.7298
43576,1978,0.95912
43576,1979,1.971266667
43576,1980,0.378463333
43577,1969,0.157993333
43577,1970,6.811933333
43577,1971,3.436146667
43577,1972,7.529266667
43577,1973,0.026043
43577,1974,0
43577,2011,0.095839333
43577,2012,0.026044267
43577,2013,2.19892
43577,2005,0.164338667
43577,2006,0.789293333
43577,2007,0.126296
43577,2008,0
43577,2009,0
43577,2010,0
43577,1999,3.7555
43577,2000,0.015438
43577,2001,3.139626667
43577,2002,4.042346667
43577,2003,0
43577,2004,11.31806667
43577,1993,0.322206
43577,1994,0.020664
43577,1995,0.05609
43577,1996,0.377712
43577,1997,7.3946
43577,1998,0
43577,1987,18.86053333
43577,1988,0.70998
43577,1989,9.4156
43577,1990,0.027156
43577,1991,0
43577,1992,7.201666667
43577,1981,1.525793333
43577,1982,2.930693333
43577,1983,2.44946
43577,1984,0
43577,1985,0
43577,1986,1.879246667
43577,1975,0.071154667
43577,1976,0
43577,1977,0.73112
43577,1978,0.216864667
43577,1979,0.675286667
43577,1980,0.452379333
43579,1969,0.013328
43579,1970,10.7244
43579,1971,1.467133333
43579,1972,1.027133333
43579,1973,0
43579,1974,0.014399
43579,2011,0.008422
43579,2012,0.000886133
43579,2013,1.97412
43579,2005,0
43579,2006,2.08098
43579,2007,0.041314
43579,2008,0
43579,2009,0
43579,2010,0.269703333
43579,1999,0
43579,2000,0
43579,2001,0
43579,2002,0.460012667
43579,2003,0.050869
43579,2004,1.501273333
43579,1993,0.056003533
43579,1994,0.040189733
43579,1995,0
43579,1996,0.523438
43579,1997,7.2414
43579,1998,0
